id,emergency_id,intervention_id,year_2020_total,year_2020_salaries,year_2020_training,year_2020_consumables,year_2020_logistics,year_2020_equipment,year_2020_administration,year_2021_total,year_2021_salaries,year_2021_training,year_2021_consumables,year_2021_logistics,year_2021_equipment,year_2021_administration,year_2022_total,year_2022_salaries,year_2022_training,year_2022_consumables,year_2022_logistics,year_2022_equipment,year_2022_administration,beneficiaries_2020_number_people_need_male,beneficiaries_2020_number_people_need_female,beneficiaries_2020_number_people_targeted_male,beneficiaries_2020_number_people_targeted_female,beneficiaries_2020_number_people_reached_male,beneficiaries_2020_number_people_reached_female,beneficiaries_2021_number_people_need_male,beneficiaries_2021_number_people_need_female,beneficiaries_2021_number_people_targeted_male,beneficiaries_2021_number_people_targeted_female,beneficiaries_2021_number_people_reached_male,beneficiaries_2021_number_people_reached_female,beneficiaries_2022_number_people_need_male,beneficiaries_2022_number_people_need_female,beneficiaries_2022_number_people_targeted_male,beneficiaries_2022_number_people_targeted_female,beneficiaries_2022_number_people_reached_male,beneficiaries_2022_number_people_reached_female,comments
25,mex_migration,13-a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,mex_migration,13-b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,mex_migration,13-c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,mex_migration,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,mex_migration,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,gtm_eta,1,0,48776,5000,8000,20270,6757,7721,0,120000,5000,12785,41299,20000,15000,0,0,0,0,0,0,0,0,0,2880,3120,2796,2738,,140000,,14000,,13221,0,0,0,0,0,0,
31,gtm_eta,2,0,48776,5000,8000,20270,6757,7721,0,120000,5000,12785,41299,20000,15000,0,0,0,0,0,0,0,0,0,2880,3120,2796,2738,,140000,,18609,,13757,0,0,0,0,0,0,
32,gtm_eta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,gtm_eta,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6332,6332,0,0,0,0,0,0,
34,gtm_eta,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,gtm_eta,5-a,0,48776,5000,8000,20270,6757,7721,0,120000,5000,12785,41299,20000,15000,0,0,0,0,0,0,0,0,0,2460,3540,1191,1714,0,0,0,0,10964,10964,0,0,0,0,0,0,
36,gtm_eta,5-b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,gtm_eta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,gtm_eta,7,0,0,0,0,0,0,0,0,120000,5000,12785,41299,20000,15000,0,0,0,0,0,0,0,0,0,0,0,300,432,0,0,0,0,1453,1453,0,0,0,0,0,0,
39,gtm_eta,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,gtm_eta,8-a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16760,16580,0,0,0,0,0,0,
41,gtm_eta,8-b,0,48776,5000,8000,20270,6757,7721,0,120000,5000,12785,41299,20000,15000,0,0,0,0,0,0,0,0,0,2880,3120,2796,2738,0,0,0,0,14243,14119,0,0,0,0,0,0,
